Nombre,Tipo de Facilidad,Numero de Lic,Dueño o Control,Tipo de Acreditacion/numero,Direccion,Telefono,Pueblo,Numero de Estaciones,Capacidad de Camamas Autorizadas,Capacidad de Camas en Uso
METRO PAVIA @ HOME - ADJUNTAS - 85-06-070,Agencias de salud en el Hogar,47,Privado - Lucrativo - Corporación,Medicare,Calle Rodulfo González #66,Teléfono: 787-829-7710,Pueblo: Adjuntas,,,
"DD HOME CARE SAN FRANCISCO DE ASIS, INC. - AGUADILLA - 03-06-053",Agencias de salud en el Hogar,49,Privado - Lucrativo - Corporación,Medicare,"Carr. PR 111, Km. 0.8 Interior, Bo. Palmar",Teléfono: 787-868-4684,Pueblo: Aguadilla,,,
PROGRAMA DE SALUD EN EL HOGAR MENONITA,Agencias de salud en el Hogar,41,Privado - No Lucrativo-Corporacion,,CALLE JOSE C. VAZQUEZ,Teléfono: (787)954-8001,Pueblo: Aibonito,,,
PROGRAMA DE SERVICIOS DE SALUD EN EL HOGAR SAN LUCAS DE ARECIBO,Agencias de salud en el Hogar,38,Privado - No Lucrativo-Iglesia,Medicare / 40-7309,"Carr. Núm. 2, Km. 81.0.Bo. San Daniel",Teléfono: 878-5819,Pueblo: Arecibo,,,
ARECIBO MEDICAL HOME CARE-ARECIBO -85-06-077,Agencias de salud en el Hogar,18,Privado - No Lucrativo-Corporacion,Medicare ,"Calle Morell Campos Num 57, Urb. Gracia",Teléfono: 879-2955,Pueblo: Arecibo,,,
PROGRAMA DE SERVICIOS DE SALUD EN EL HOGAR DEL NORTE - Programa de Slaud en el Hogar & HOSPICIO - ARECIBO,Agencias de salud en el Hogar,46,Privado - Lucrativo - Corporacion,Medicaid,"653, Km. 2.0 del Sector Barranca, Barrio Hato Abajo",Teléfono: 787 816-6151,Pueblo: Arecibo,,,
NORTHERN INFUSION CSP - HCP (REGION NORTE) - ARECIBO - 05-06-048,Agencias de salud en el Hogar,53,Privado - Lucrativo - Corporacion,Medicare,Calle Luis Gandia #58,Teléfono: 939 644-0101,Pueblo: Arecibo,,,
PROGRAMA SALUD EN EL HOGAR LA MONTAÑA - BARRANQUITAS - 89-06-315,Agencias de salud en el Hogar,7,Privado - No Lucrativo - Corporacion, Medicare / 40-7008,"Carr. PR-156, Km. 16.3, Calle Barcelo 53",Teléfono: 787-869-5500,Pueblo: Barranquitas,,,
PROGRAMA DE SERVICIOS DE SALUD EN EL HOGAR SAN LUCAS DE BAYAMON,Agencias de salud en el Hogar,30,Privado - No Lucrativo - Iglesia,Medicare,"Royal Club ConventionCenter, 2do piso, Ave. Comerio, Carr. 167",Teléfono: 743-4814,Pueblo: Bayamon,,,
"ASOCIACION DE ENFERMERIA VISITANTE GREGORIA AUFFANT, INC-BAYAMON",Agencias de salud en el Hogar,45,Privado - No Lucrativo - Corporacion,Medicare,Calos Andalux X 48 Lomas Verdes,Teléfono: 787 780-4010,Pueblo: Bayamon,,,
